Sample name,U,S,L,R,P,EB2,EB3,EB4,FunctionalAssay,CellNo.Norm_2,CellNo.Norm_4,CellNo.Norm_6,CellNo.Raw_2,CellNo.Raw_4,CellNo.Raw_6,Prolif_2,Prolif_4,Prolif_6,Apoptosis_2,Apoptosis_4,Apoptosis_6,Morphology,Rex1,Oct4,Dnmt3b,Fgf5,Lefty2,Otx2,Mixl1
E136 U+R+P,1,0,0,1,1,0.442545456,6.302501844,12.21250003,18.95754733,0.15,0.7,,1.40E+06,6.90E+06,,62.4,64.6,68.5,32,20.32,23.5,0.609557109,,,,,,,
E136 U+R+P+S,1,1,0,1,1,,,,,0.17,,,1.60E+06,,,57.3,63.4,60.1,22.04,24.41,14.43,0.815836526,,,,,,,
E136 U+R+S,1,1,0,1,0,,,,,0.23,0.14,,2.13E+06,1.40E+06,,56.5,62,61.5,25.12,21.79,25.23,0.590038314,,,,,,,
E136 U+S,1,1,0,0,0,2.192509819,10.59750045,6.582495789,19.37250606,0.46,0.57,0.32,4.30E+06,5.60E+06,2.27E+06,72,66.2,60.3,8.83,57.8,30.9,0.322751323,,,,,,,
E140 330 LIF+Pro+DMSO,0,0,0,0,0,4.593353771,7.358334718,8.373335002,20.32502349,1,1,1,1.50E+07,9.60E+06,8.60E+06,69.4,78.3,,40.7,19.89,60.9,1.422705314,-0.206487016,-0.232813632,2.414994991,4.351647514,-0.534862641,1.974961249,0.230522036
E140 L,0,0,1,0,0,2.733354341,5.963335397,6.803330378,15.50002012,0.68,0.85,1.69,1.02E+07,8.20E+06,1.45E+07,76.4,74.3,76,47.6,19.29,16.35,1.947420635,-0.330138266,-0.379824516,2.57248938,0.519688534,-0.267456811,1.402545707,0.072429114
E140 L+P,0,0,1,0,1,-0.30222618,1.238175419,4.24830712,5.184256359,0.59,0.43,0.66,8.80E+06,4.13E+06,5.70E+06,76.2,67.3,73.3,43.4,30.55,47.3,1.234892788,0.059355278,0.024319679,1.640158155,5.084999672,-0.646112164,2.71501475,0.520045024
E140 L+P+S,0,1,1,0,1,-1.407363571,1.118359726,2.893362211,2.604358366,0.5,0.42,0.64,7.50E+06,4.00E+06,5.47E+06,69.3,48.2,65.6,12.14,22.06,27.86,0.630222149,-0.260151897,-0.104697379,-1.029146346,1.079975377,1.299830762,2.95995558,-2.60823228
E140 L+R,0,0,1,1,0,,,,,0.16,0.21,,2.40E+06,2.06E+06,,47.9,63,66.1,53.1,25.47,30.3,0.926262626,0.220329955,0.230203013,0.570462931,0.064882852,0.195347598,1.654893757,-0.590744853
E140 L+R+P,0,0,1,1,1,,,,,0.09,,,1.36E+06,,,46.1,59.4,62.6,26.86,18.9,17.74,0.712766992,0.259423152,0.36960607,-0.125006361,1.919912089,0.304511042,1.750177706,-0.125006361
