Response,Predicted,Exp,ModelType
4,3.99177845,Prolif_Ntile_8,BRANN
3,2.985049887,Prolif_Ntile_8,BRANN
6,6.009427372,Prolif_Ntile_8,BRANN
4,3.615747104,Prolif_Ntile_8,BRANN
2,2.669556296,Prolif_Ntile_8,BRANN
7,7.140284883,Prolif_Ntile_8,BRANN
5,4.836959336,Prolif_Ntile_8,BRANN
5,3.772591449,Prolif_Ntile_8,BRANN
6,6.610446251,Prolif_Ntile_8,BRANN
4,4.458304893,Prolif_Ntile_8,BRANN
3,3.404880292,Prolif_Ntile_8,BRANN
4,5.156561406,Prolif_Ntile_8,BRANN
2,2.251636662,Prolif_Ntile_8,BRANN
2,1.665500153,Prolif_Ntile_8,BRANN
3,4.089330929,Prolif_Ntile_8,BRANN
1,2.014743647,Prolif_Ntile_8,BRANN
0.110119975,0.070744053,Morphology_Log,BRANN
0.293953909,0.190606127,Morphology_Log,BRANN
0.013354135,0.104187083,Morphology_Log,BRANN
-0.015378688,-0.024724645,Morphology_Log,BRANN
-0.502842232,-0.520881098,Morphology_Log,BRANN
-0.410080996,-0.498491507,Morphology_Log,BRANN
-0.720229659,-0.796398346,Morphology_Log,BRANN
-0.82754601,-0.742228746,Morphology_Log,BRANN
-0.604479198,-0.674340228,Morphology_Log,BRANN
-0.716491941,-0.697857292,Morphology_Log,BRANN
-1.00595067,-0.842712994,Morphology_Log,BRANN
-0.678381646,-0.674081618,Morphology_Log,BRANN
-0.334697914,-0.34182754,Morphology_Log,BRANN
-0.146068556,-0.213509274,Morphology_Log,BRANN
-0.204353376,-0.300308733,Morphology_Log,BRANN
-0.400056811,-0.40998411,Morphology_Log,BRANN
-0.919542667,-0.812324414,Morphology_Log,BRANN
-0.86826296,-0.707910931,Morphology_Log,BRANN
-0.96613881,-1.043187562,Morphology_Log,BRANN
-1.279573043,-1.021226045,Morphology_Log,BRANN
-0.750947846,-0.881057392,Morphology_Log,BRANN
-1.126212953,-0.877686023,Morphology_Log,BRANN
-0.820094328,-0.97437466,Morphology_Log,BRANN
-0.613590307,-0.766890394,Morphology_Log,BRANN
3.272985151,3.192735546,Apoptosis_Log,BRANN
3.524520598,3.555150507,Apoptosis_Log,BRANN
3.807772984,3.652768854,Apoptosis_Log,BRANN
4.047427642,3.697052822,Apoptosis_Log,BRANN
3.955848485,3.785114678,Apoptosis_Log,BRANN
3.259153671,3.301576387,Apoptosis_Log,BRANN
3.1755507,3.352901867,Apoptosis_Log,BRANN
3.454580158,3.458478827,Apoptosis_Log,BRANN
2.848246832,3.01209225,Apoptosis_Log,BRANN
3.117285969,3.381635324,Apoptosis_Log,BRANN
3.191710157,3.486422763,Apoptosis_Log,BRANN
3.836329161,3.535042636,Apoptosis_Log,BRANN
3.988752538,3.632657765,Apoptosis_Log,BRANN
2.86491149,3.119870993,Apoptosis_Log,BRANN
3.235929579,3.17141788,Apoptosis_Log,BRANN
3.528710702,3.27969716,Apoptosis_Log,BRANN
2.714860293,3.205081346,Apoptosis_Log,BRANN
2.998229154,3.566583306,Apoptosis_Log,BRANN
3.285973568,3.663278247,Apoptosis_Log,BRANN
3.977670287,3.70724934,Apoptosis_Log,BRANN
4.019980147,3.794168135,Apoptosis_Log,BRANN
3.155083692,3.313666912,Apoptosis_Log,BRANN
3.316637543,3.364832437,Apoptosis_Log,BRANN
3.582337686,3.46970713,Apoptosis_Log,BRANN
2.845635864,3.024478912,Apoptosis_Log,BRANN
3.218675805,3.393511022,Apoptosis_Log,BRANN
3.616577542,3.497567875,Apoptosis_Log,BRANN
4.014158326,3.545904296,Apoptosis_Log,BRANN
4.015481714,3.642474408,Apoptosis_Log,BRANN
3.118723943,3.132289535,Apoptosis_Log,BRANN
3.282601516,3.183739584,Apoptosis_Log,BRANN
3.363408976,3.291559468,Apoptosis_Log,BRANN
3.193968189,3.190630497,Apoptosis_Log,BRANN
3.319173546,3.553038411,Apoptosis_Log,BRANN
3.638112337,3.649862653,Apoptosis_Log,BRANN
3.652345129,3.298910426,Apoptosis_Log,BRANN
2.954780062,3.350022919,Apoptosis_Log,BRANN
3.464328663,3.45460945,Apoptosis_Log,BRANN
2.855032391,3.01129601,Apoptosis_Log,BRANN
3.739017915,3.378772962,Apoptosis_Log,BRANN
3.659450643,3.482616434,Apoptosis_Log,BRANN
3.383542446,3.118460462,Apoptosis_Log,BRANN
3.272132191,3.169520369,Apoptosis_Log,BRANN
3.065491518,3.276644755,Apoptosis_Log,BRANN
2.93092705,3.202922872,Apoptosis_Log,BRANN
3.622205321,3.563889056,Apoptosis_Log,BRANN
3.663753935,3.659666866,Apoptosis_Log,BRANN
3.708682081,3.310735861,Apoptosis_Log,BRANN
3.490199831,3.361610061,Apoptosis_Log,BRANN
2.918581214,3.465319494,Apoptosis_Log,BRANN
3.327012483,3.023882956,Apoptosis_Log,BRANN
3.267761223,3.390270237,Apoptosis_Log,BRANN
3.278935581,3.493213971,Apoptosis_Log,BRANN
3.271468275,3.130864624,Apoptosis_Log,BRANN
3.09047411,3.181744062,Apoptosis_Log,BRANN
3.119165981,3.288205889,Apoptosis_Log,BRANN
3.998659312,3.266431825,Apoptosis_Log,BRANN
3.432534537,3.62164686,Apoptosis_Log,BRANN
4.069454013,3.714307911,Apoptosis_Log,BRANN
3.557203482,3.373620939,Apoptosis_Log,BRANN
3.275728636,3.423960851,Apoptosis_Log,BRANN
3.489411738,3.525883064,Apoptosis_Log,BRANN
3.141274579,3.085562029,Apoptosis_Log,BRANN
3.308716529,3.452231641,Apoptosis_Log,BRANN
3.387689898,3.553171574,Apoptosis_Log,BRANN
2.729159164,3.193398614,Apoptosis_Log,BRANN
3.030254466,3.244596356,Apoptosis_Log,BRANN
2.726217505,3.350700024,Apoptosis_Log,BRANN
3.390389183,3.278508592,Apoptosis_Log,BRANN
3.565298392,3.632007082,Apoptosis_Log,BRANN
3.976920837,3.723545731,Apoptosis_Log,BRANN
3.611908413,3.385060625,Apoptosis_Log,BRANN
3.643228109,3.435121302,Apoptosis_Log,BRANN
3.379406112,3.53604753,Apoptosis_Log,BRANN
3.338346325,3.098054427,Apoptosis_Log,BRANN
3.50465609,3.463295085,Apoptosis_Log,BRANN
3.202204291,3.563221778,Apoptosis_Log,BRANN
3.715602524,3.205514848,Apoptosis_Log,BRANN
3.256749477,3.256479056,Apoptosis_Log,BRANN
3.079767003,3.361762275,Apoptosis_Log,BRANN
