Response,Predicted,Exp,ModelType
0.48896845,-0.2329075,Mixl1,BRANN
-0.2004984,0.1062197,Mixl1,BRANN
-0.454121,-1.1732275,Mixl1,BRANN
-1.274209,-0.5079909,Mixl1,BRANN
-0.1401165,-1.0564267,Mixl1,BRANN
-2.7863873,-1.473263,Mixl1,BRANN
-1.1850002,-0.7858865,Mixl1,BRANN
-0.6464373,-0.4000832,Mixl1,BRANN
-1.4117144,-1.7828478,Mixl1,BRANN
-1.7205447,-1.0864414,Mixl1,BRANN
-0.3104885,-0.8050485,Mixl1,BRANN
-1.2387398,-1.2142156,Mixl1,BRANN
-1.7177081,-0.5456429,Mixl1,BRANN
-0.7981142,-0.1796891,Mixl1,BRANN
-1.4237211,-1.5235337,Mixl1,BRANN
-2.2815048,-1.4055309,Mixl1,BRANN
-2.0364678,-1.8238896,Mixl1,BRANN
0.10611056,-1.1270676,Mixl1,BRANN
0.55474943,-0.7233295,Mixl1,BRANN
-4.2459323,-2.1283493,Mixl1,BRANN
0.22554712,-1.4347049,Mixl1,BRANN
1.116412,1.10045116,Mixl1,BRANN
1.34172206,1.24500396,Morph,BRANN
1.0134437,1.09109357,Morph,BRANN
0.98473896,0.95929553,Morph,BRANN
0.60480921,0.64244764,Morph,BRANN
0.6635965,0.61700323,Morph,BRANN
0.48664048,0.46343689,Morph,BRANN
0.43712066,0.50756123,Morph,BRANN
0.5463589,0.53337947,Morph,BRANN
0.48846281,0.5077651,Morph,BRANN
0.36569681,0.41591092,Morph,BRANN
0.50743754,0.48480481,Morph,BRANN
0.71555421,0.73302175,Morph,BRANN
0.86409846,0.85291015,Morph,BRANN
0.81517426,0.7636106,Morph,BRANN
0.67028197,0.67649953,Morph,BRANN
0.39870134,0.46438201,Morph,BRANN
0.41967992,0.50811505,Morph,BRANN
0.38054958,0.36221947,Morph,BRANN
0.27815604,0.38084618,Morph,BRANN
0.47191903,0.45758456,Morph,BRANN
0.32425892,0.44769204,Morph,BRANN
0.44039011,0.37451291,Morph,BRANN
0.54140357,0.460486,Morph,BRANN
1.116412,1.10045116,Morph,BRANN
26.39,21.6867269,Apoptosis,BRANN
33.9375,32.4834007,Apoptosis,BRANN
45.05,36.3007086,Apoptosis,BRANN
57.25,51.3419007,Apoptosis,BRANN
52.24,53.0587058,Apoptosis,BRANN
26.0275,26.0706849,Apoptosis,BRANN
23.94,29.4619516,Apoptosis,BRANN
31.645,31.6992804,Apoptosis,BRANN
17.2575,15.7835188,Apoptosis,BRANN
22.585,28.2247533,Apoptosis,BRANN
24.33,30.9570719,Apoptosis,BRANN
46.355,49.9382419,Apoptosis,BRANN
53.9875,51.3712702,Apoptosis,BRANN
17.5475,18.9503335,Apoptosis,BRANN
25.43,27.4580535,Apoptosis,BRANN
34.08,29.1753779,Apoptosis,BRANN
15.1025,21.2621385,Apoptosis,BRANN
20.05,32.2797289,Apoptosis,BRANN
26.735,36.0116077,Apoptosis,BRANN
53.3925,51.4015997,Apoptosis,BRANN
55.7,53.0872165,Apoptosis,BRANN
23.455,25.5661557,Apoptosis,BRANN
27.5675,29.4679752,Apoptosis,BRANN
35.9575,31.66003,Apoptosis,BRANN
17.2125,15.526941,Apoptosis,BRANN
24.995,28.1572478,Apoptosis,BRANN
37.21,30.8265068,Apoptosis,BRANN
55.3766667,50.0341307,Apoptosis,BRANN
55.45,51.4492201,Apoptosis,BRANN
22.6175,18.6099073,Apoptosis,BRANN
26.645,27.5230704,Apoptosis,BRANN
28.8875,29.2155809,Apoptosis,BRANN
24.385,30.1206145,Apoptosis,BRANN
27.6375,34.9120162,Apoptosis,BRANN
38.02,40.1592763,Apoptosis,BRANN
38.565,35.1990665,Apoptosis,BRANN
19.1975,26.6705867,Apoptosis,BRANN
31.955,30.0439308,Apoptosis,BRANN
17.375,21.4448466,Apoptosis,BRANN
42.0566667,27.6338285,Apoptosis,BRANN
38.84,31.7808706,Apoptosis,BRANN
29.475,26.0871781,Apoptosis,BRANN
26.3675,22.9925789,Apoptosis,BRANN
21.445,25.3686433,Apoptosis,BRANN
18.745,29.5119628,Apoptosis,BRANN
37.42,34.4518078,Apoptosis,BRANN
39.0075,39.6403117,Apoptosis,BRANN
40.8,34.5968638,Apoptosis,BRANN
32.7925,26.4975973,Apoptosis,BRANN
18.515,29.7908661,Apoptosis,BRANN
27.855,20.9333983,Apoptosis,BRANN
26.2525,27.3381694,Apoptosis,BRANN
26.5475,31.3982088,Apoptosis,BRANN
26.35,25.5116993,Apoptosis,BRANN
21.9875,22.9413168,Apoptosis,BRANN
22.6275,25.2624883,Apoptosis,BRANN
54.525,35.4628649,Apoptosis,BRANN
30.955,38.6792076,Apoptosis,BRANN
58.525,44.2064523,Apoptosis,BRANN
35.065,40.1744794,Apoptosis,BRANN
26.4625,27.7694277,Apoptosis,BRANN
32.7666667,31.9206507,Apoptosis,BRANN
23.1333333,26.368329,Apoptosis,BRANN
27.35,30.0484339,Apoptosis,BRANN
29.5975,34.9342618,Apoptosis,BRANN
15.32,31.3670393,Apoptosis,BRANN
20.7025,22.7738035,Apoptosis,BRANN
15.275,25.7354949,Apoptosis,BRANN
29.6775,34.8634636,Apoptosis,BRANN
35.35,38.1346829,Apoptosis,BRANN
53.3525,43.6520692,Apoptosis,BRANN
37.0366667,39.6326391,Apoptosis,BRANN
38.215,27.4743049,Apoptosis,BRANN
29.3533333,31.5385166,Apoptosis,BRANN
28.1725,25.7690542,Apoptosis,BRANN
33.27,29.6239351,Apoptosis,BRANN
24.5866667,34.4370157,Apoptosis,BRANN
41.0833333,30.7502198,Apoptosis,BRANN
25.965,22.632895,Apoptosis,BRANN
21.7533333,25.5214061,Apoptosis,BRANN
1,1.09631868,CellNoNorm,BRANN
0.922,0.83138718,CellNoNorm,BRANN
0.582,0.64710567,CellNoNorm,BRANN
0.122,0.24470706,CellNoNorm,BRANN
0.1,0.19755397,CellNoNorm,BRANN
0.656,0.82858389,CellNoNorm,BRANN
0.514,0.58065922,CellNoNorm,BRANN
0.518,0.4820031,CellNoNorm,BRANN
1.022,1.00415317,CellNoNorm,BRANN
0.838,0.75600971,CellNoNorm,BRANN
0.628,0.542199,CellNoNorm,BRANN
0.078,0.18376834,CellNoNorm,BRANN
0.084,0.16106059,CellNoNorm,BRANN
0.688,0.69194311,CellNoNorm,BRANN
0.544,0.52324553,CellNoNorm,BRANN
0.402,0.4051627,CellNoNorm,BRANN
0.948,0.91292914,CellNoNorm,BRANN
0.706,0.66996754,CellNoNorm,BRANN
0.53950867,0.47445111,CellNoNorm,BRANN
0.094,0.10713376,CellNoNorm,BRANN
0.138,0.11900762,CellNoNorm,BRANN
0.616,0.6100996,CellNoNorm,BRANN
0.43,0.44352341,CellNoNorm,BRANN
0.46239316,0.34607265,CellNoNorm,BRANN
0.848,0.7846248,CellNoNorm,BRANN
0.498,0.57144454,CellNoNorm,BRANN
0.56586335,0.40829526,CellNoNorm,BRANN
0.0725,0.05728666,CellNoNorm,BRANN
0.078,0.11967549,CellNoNorm,BRANN
0.58,0.5126841,CellNoNorm,BRANN
0.394,0.37137253,CellNoNorm,BRANN
0.36729615,0.30515668,CellNoNorm,BRANN
1,1.14297745,CellNoNorm,BRANN
1.128,0.96732464,CellNoNorm,BRANN
0.526,0.64211141,CellNoNorm,BRANN
0.834,0.75019384,CellNoNorm,BRANN
0.956,0.81001964,CellNoNorm,BRANN
0.546,0.56405405,CellNoNorm,BRANN
1.202,0.99186441,CellNoNorm,BRANN
0.59,0.83314793,CellNoNorm,BRANN
0.4575,0.53728784,CellNoNorm,BRANN
0.478,0.62129281,CellNoNorm,BRANN
0.842,0.7006563,CellNoNorm,BRANN
0.376,0.47635371,CellNoNorm,BRANN
1.142,0.88816964,CellNoNorm,BRANN
0.926,0.73745709,CellNoNorm,BRANN
0.5148521,0.48209522,CellNoNorm,BRANN
0.34,0.55481583,CellNoNorm,BRANN
0.452,0.61242581,CellNoNorm,BRANN
0.46781046,0.42639873,CellNoNorm,BRANN
0.584,0.73953224,CellNoNorm,BRANN
0.808,0.6150534,CellNoNorm,BRANN
0.35966769,0.42194707,CellNoNorm,BRANN
0.496,0.47485745,CellNoNorm,BRANN
0.334,0.51379129,CellNoNorm,BRANN
0.30948783,0.37938444,CellNoNorm,BRANN
1,1.06961011,CellNoNorm,BRANN
0.974,0.88065288,CellNoNorm,BRANN
0.434,0.58664194,CellNoNorm,BRANN
0.8,0.69617046,CellNoNorm,BRANN
0.904,0.70901425,CellNoNorm,BRANN
0.61,0.50067031,CellNoNorm,BRANN
0.966,0.92077341,CellNoNorm,BRANN
0.8525,0.75332061,CellNoNorm,BRANN
0.474,0.49500673,CellNoNorm,BRANN
0.678,0.5790305,CellNoNorm,BRANN
0.652,0.60812818,CellNoNorm,BRANN
0.47666667,0.42774861,CellNoNorm,BRANN
0.696,0.819958,CellNoNorm,BRANN
0.582,0.66253757,CellNoNorm,BRANN
0.41972973,0.44630656,CellNoNorm,BRANN
0.68,0.51906544,CellNoNorm,BRANN
0.434,0.52548303,CellNoNorm,BRANN
0.27666667,0.38462284,CellNoNorm,BRANN
0.566,0.68163442,CellNoNorm,BRANN
0.484,0.55372614,CellNoNorm,BRANN
0.28114806,0.39645341,CellNoNorm,BRANN
0.4575,0.44933376,CellNoNorm,BRANN
0.25,0.44229849,CellNoNorm,BRANN
0.48271506,0.34907793,CellNoNorm,BRANN
0.11011997,0.07000792,Morph_Log,BRANN
0.29395391,0.1904569,Morph_Log,BRANN
0.01335413,0.10357287,Morph_Log,BRANN
-0.0153787,-0.0261757,Morph_Log,BRANN
-0.5028422,-0.5203184,Morph_Log,BRANN
-0.410081,-0.4983588,Morph_Log,BRANN
-0.7202297,-0.7952965,Morph_Log,BRANN
-0.827546,-0.7414565,Morph_Log,BRANN
-0.6044792,-0.6741191,Morph_Log,BRANN
-0.7164919,-0.6972504,Morph_Log,BRANN
-1.0059507,-0.8435967,Morph_Log,BRANN
-0.6783816,-0.675958,Morph_Log,BRANN
-0.3346979,-0.3425701,Morph_Log,BRANN
-0.1460686,-0.2142192,Morph_Log,BRANN
-0.2043534,-0.2994389,Morph_Log,BRANN
-0.4000568,-0.4090555,Morph_Log,BRANN
-0.9195427,-0.8098327,Morph_Log,BRANN
-0.868263,-0.7054716,Morph_Log,BRANN
-0.9661388,-1.0424573,Morph_Log,BRANN
-1.279573,-1.0212148,Morph_Log,BRANN
-0.7509478,-0.8811066,Morph_Log,BRANN
-1.126213,-0.8770239,Morph_Log,BRANN
-0.8200943,-0.9762207,Morph_Log,BRANN
-0.6135903,-0.7693878,Morph_Log,BRANN
0.50670341,-0.1481297,Oct4,BRANN
0.00174132,-0.0002776,Oct4,BRANN
0.11024649,0.06099157,Oct4,BRANN
-0.3284762,-0.0750107,Oct4,BRANN
0.06870374,-0.0897113,Oct4,BRANN
0.10536641,-0.020339,Oct4,BRANN
-0.3931076,-0.1078206,Oct4,BRANN
0.11741337,0.03392969,Oct4,BRANN
-0.0206283,0.0913693,Oct4,BRANN
0.00633726,-0.0371567,Oct4,BRANN
-0.1097274,-0.0512729,Oct4,BRANN
0.03481069,0.01495965,Oct4,BRANN
-0.5957867,-0.3947058,Oct4,BRANN
-0.5429752,-0.2359955,Oct4,BRANN
-0.2790993,-0.1596424,Oct4,BRANN
-0.2743859,-0.3203023,Oct4,BRANN
-0.460506,-0.3358659,Oct4,BRANN
-0.2777118,-0.3546052,Oct4,BRANN
-0.0068181,-0.1942324,Oct4,BRANN
0.29363774,-0.1190484,Oct4,BRANN
-0.5910029,-0.278722,Oct4,BRANN
-0.5150888,-0.2944923,Oct4,BRANN
-0.053896,-0.2176566,Oct4,BRANN
74.2,74.8660249,Prolif,BRANN
73.75,72.1669554,Prolif,BRANN
71.9,71.8788509,Prolif,BRANN
56.4,50.8100703,Prolif,BRANN
55.25,51.328451,Prolif,BRANN
72.85,73.9592598,Prolif,BRANN
73.675,71.8235952,Prolif,BRANN
70.15,71.5938209,Prolif,BRANN
74.675,71.9931145,Prolif,BRANN
66.825,68.3814449,Prolif,BRANN
68.425,67.6712716,Prolif,BRANN
41.85,43.6211494,Prolif,BRANN
41.75,43.8288837,Prolif,BRANN
72.825,70.5574387,Prolif,BRANN
68.225,67.9504235,Prolif,BRANN
65.825,67.3249573,Prolif,BRANN
64.775,73.4839393,Prolif,BRANN
69.15,67.5181894,Prolif,BRANN
70.55,67.2245233,Prolif,BRANN
33.675,40.276734,Prolif,BRANN
30.65,40.647592,Prolif,BRANN
75.1333333,72.3771228,Prolif,BRANN
70.825,66.8674748,Prolif,BRANN
68.8,66.6505881,Prolif,BRANN
72.1333333,69.8010722,Prolif,BRANN
50.16,61.6006119,Prolif,BRANN
65.775,60.8654962,Prolif,BRANN
33.625,33.8812823,Prolif,BRANN
41.375,33.7537454,Prolif,BRANN
71.7,68.306641,Prolif,BRANN
63.6,60.8207615,Prolif,BRANN
61.45,60.1731448,Prolif,BRANN
77.225,73.7713836,Prolif,BRANN
73.35,72.1624445,Prolif,BRANN
69.025,71.6025061,Prolif,BRANN
74.625,72.5524343,Prolif,BRANN
74.125,71.9257803,Prolif,BRANN
69.875,71.4351316,Prolif,BRANN
74.45,70.2951642,Prolif,BRANN
66.1,68.0271083,Prolif,BRANN
63.025,66.9773651,Prolif,BRANN
70.525,68.7403869,Prolif,BRANN
70.05,67.7448152,Prolif,BRANN
65.15,66.7730726,Prolif,BRANN
74.075,72.1956876,Prolif,BRANN
71.1,67.8089592,Prolif,BRANN
67.825,67.185665,Prolif,BRANN
71.1,70.8047596,Prolif,BRANN
69.7,67.3047364,Prolif,BRANN
63.825,66.7666594,Prolif,BRANN
68.3,68.123022,Prolif,BRANN
64.775,61.5972663,Prolif,BRANN
62.875,60.5640053,Prolif,BRANN
62.175,66.6483656,Prolif,BRANN
61.25,60.9790884,Prolif,BRANN
60.825,60.0144772,Prolif,BRANN
75.6666667,74.308882,Prolif,BRANN
74.4,71.5974575,Prolif,BRANN
71.325,71.2121326,Prolif,BRANN
75.45,73.2535305,Prolif,BRANN
72.725,71.2495631,Prolif,BRANN
71.625,70.9299257,Prolif,BRANN
74.3333333,71.082663,Prolif,BRANN
66.4666667,67.3816413,Prolif,BRANN
65.375,66.5376145,Prolif,BRANN
70.6,69.5717182,Prolif,BRANN
68.575,66.9514822,Prolif,BRANN
63.625,66.1928991,Prolif,BRANN
74.1,72.7522694,Prolif,BRANN
68.975,66.61733,Prolif,BRANN
69.25,66.2093868,Prolif,BRANN
72.6,71.5054353,Prolif,BRANN
66.3,65.9564328,Prolif,BRANN
65.7,65.6315183,Prolif,BRANN
66.875,68.7557117,Prolif,BRANN
63.1,60.188891,Prolif,BRANN
60.1,59.3386182,Prolif,BRANN
66.1333333,67.2571192,Prolif,BRANN
57.45,59.4053995,Prolif,BRANN
1.67E+11,1.80E+11,Prolif_Power_6,BRANN
1.61E+11,1.35E+11,Prolif_Power_6,BRANN
1.38E+11,1.21E+11,Prolif_Power_6,BRANN
32186564505,72396358252,Prolif_Power_6,BRANN
28444198068,56257160041,Prolif_Power_6,BRANN
1.49E+11,1.59E+11,Prolif_Power_6,BRANN
1.60E+11,1.37E+11,Prolif_Power_6,BRANN
1.19E+11,1.16E+11,Prolif_Power_6,BRANN
1.73E+11,1.45E+11,Prolif_Power_6,BRANN
89049975553,91740472252,Prolif_Power_6,BRANN
1.03E+11,88181012422,Prolif_Power_6,BRANN
5372454845,22814431445,Prolif_Power_6,BRANN
5295889062,14401305029,Prolif_Power_6,BRANN
1.49E+11,1.35E+11,Prolif_Power_6,BRANN
1.01E+11,88423471026,Prolif_Power_6,BRANN
81347686576,77789725932,Prolif_Power_6,BRANN
73865991199,1.49E+11,Prolif_Power_6,BRANN
1.09E+11,1.03E+11,Prolif_Power_6,BRANN
1.23E+11,1.04E+11,Prolif_Power_6,BRANN
1458295805,32878796709,Prolif_Power_6,BRANN
829054103.3,33488686060,Prolif_Power_6,BRANN
1.80E+11,1.44E+11,Prolif_Power_6,BRANN
1.26E+11,96705301504,Prolif_Power_6,BRANN
1.06E+11,93466678264,Prolif_Power_6,BRANN
1.41E+11,1.20E+11,Prolif_Power_6,BRANN
15927410265,65507440569,Prolif_Power_6,BRANN
80977644651,73715497710,Prolif_Power_6,BRANN
1445352434,-8927748455,Prolif_Power_6,BRANN
5016814473,-3688832999,Prolif_Power_6,BRANN
1.36E+11,1.22E+11,Prolif_Power_6,BRANN
66182427701,54579956563,Prolif_Power_6,BRANN
53843257084,59031087764,Prolif_Power_6,BRANN
2.12E+11,2.08E+11,Prolif_Power_6,BRANN
1.56E+11,1.52E+11,Prolif_Power_6,BRANN
1.08E+11,1.22E+11,Prolif_Power_6,BRANN
1.73E+11,1.72E+11,Prolif_Power_6,BRANN
1.66E+11,1.56E+11,Prolif_Power_6,BRANN
1.16E+11,1.23E+11,Prolif_Power_6,BRANN
1.70E+11,1.62E+11,Prolif_Power_6,BRANN
83408201529,99260728871,Prolif_Power_6,BRANN
62672515453,77132185507,Prolif_Power_6,BRANN
1.23E+11,1.35E+11,Prolif_Power_6,BRANN
1.18E+11,1.02E+11,Prolif_Power_6,BRANN
76469195343,73360267602,Prolif_Power_6,BRANN
1.65E+11,1.60E+11,Prolif_Power_6,BRANN
1.29E+11,1.03E+11,Prolif_Power_6,BRANN
97350640809,89347280166,Prolif_Power_6,BRANN
1.29E+11,1.40E+11,Prolif_Power_6,BRANN
1.15E+11,1.04E+11,Prolif_Power_6,BRANN
67599726813,82379938235,Prolif_Power_6,BRANN
1.02E+11,1.18E+11,Prolif_Power_6,BRANN
73865991199,54756520884,Prolif_Power_6,BRANN
61782857149,50408114928,Prolif_Power_6,BRANN
57768988537,1.08E+11,Prolif_Power_6,BRANN
52800320438,51972100818,Prolif_Power_6,BRANN
50639884401,39160427690,Prolif_Power_6,BRANN
1.88E+11,2.04E+11,Prolif_Power_6,BRANN
1.70E+11,1.49E+11,Prolif_Power_6,BRANN
1.32E+11,1.20E+11,Prolif_Power_6,BRANN
1.84E+11,1.69E+11,Prolif_Power_6,BRANN
1.48E+11,1.52E+11,Prolif_Power_6,BRANN
1.35E+11,1.20E+11,Prolif_Power_6,BRANN
1.69E+11,1.59E+11,Prolif_Power_6,BRANN
86223052836,96024944127,Prolif_Power_6,BRANN
