ExpCode,Condition,n colonies [ES phenotye],n colonies [partial differentiation phenotye],n colonies [full differentiation phenotye],Total number of colonies, % [ES phenotye],% [partial differentiation phenotye],% [full differentiation phenotye],Morphology Value [((C + D*2 + E*3)/F)-1],Averaged values,Corresponding Images,Randomization code
E116,330+Pro+DMSO,7,8,4,19,36.8,42.1,21.1,0.8421,0.6529,E116_D6_330+Pro+DMSO_10x_1.jpg,0000007_49.jpg
E116,330+Pro+DMSO,16,4,3,23,69.6,17.4,13.0,0.4348,,E116_D6_330+Pro+DMSO_10x_2.jpg,0000248_50.jpg
E116,330+Pro+DMSO,7,15,0,22,31.8,68.2,0.0,0.6818,,E116_D6_330+Pro+DMSO_10x_3.jpg,0000387_51.jpg
E133,330+Pro+DMSO,1,9,5,15,6.7,60.0,33.3,1.2667,1.1639,E133_D3P37_D6_Cont_330+Pro+DMSO_10x_1.tif,000142_157.tif
E133,330+Pro+DMSO,3,12,5,20,15.0,60.0,25.0,1.1000,,E133_D3P37_D6_Cont_330+Pro+DMSO_10x_2.tif,000405_158.tif
E133,330+Pro+DMSO,3,8,5,16,18.8,50.0,31.3,1.1250,,E133_D3P37_D6_Cont_330+Pro+DMSO_10x_3.tif,000146_159.tif
E136,330+Pro+DMSO,0,20,2,22,0.0,90.9,9.1,1.0909,1.0121,E136_D6_Cont_330+Pro+DMSO_10x_1.tif,000211_241.tif
E136,330+Pro+DMSO,6,10,4,20,30.0,50.0,20.0,0.9000,,E136_D6_Cont_330+Pro+DMSO_10x_2.tif,000011_242.tif
E136,330+Pro+DMSO,6,9,7,22,27.3,40.9,31.8,1.0455,,E136_D6_Cont_330+Pro+DMSO_10x_3.tif,000286_243.tif
E140,330+Pro+DMSO,0,14,7,21,0.0,66.7,33.3,1.3333,1.4227,E140_D6_Cont_330+Pro+DMSO_19NOV17_10x_1.tif,000247_340.tif
E140,330+Pro+DMSO,1,9,12,22,4.5,40.9,54.5,1.5000,,E140_D6_Cont_330+Pro+DMSO_19NOV17_10x_2.tif,000060_341.tif
E140,330+Pro+DMSO,1,11,11,23,4.3,47.8,47.8,1.4348,,E140_D6_Cont_330+Pro+DMSO_19NOV17_10x_3.tif,000392_342.tif
E142,330+Pro+DMSO,0,5,11,16,0.0,31.3,68.8,1.6875,1.3304,E142_D6_Cont_330+Pro+DMSO_30JAN18_10x_1.tif,000127_425.tif
E142,330+Pro+DMSO,6,9,4,19,31.6,47.4,21.1,0.8947,,E142_D6_Cont_330+Pro+DMSO_30JAN18_10x_2.tif,000317_426.tif
E142,330+Pro+DMSO,1,11,10,22,4.5,50.0,45.5,1.4091,,E142_D6_Cont_330+Pro+DMSO_30JAN18_10x_3.tif,000089_427.tif
E140,L+U+R+P+S,5,14,0,19,26.3,73.7,0.0,0.7368,0.7604,E140_D6_5i_19NOV17_10x_1.tif,000224_328.tif
E140,L+U+R+P+S,5,6,4,15,33.3,40.0,26.7,0.9333,,E140_D6_5i_19NOV17_10x_2.tif,000094_329.tif
E140,L+U+R+P+S,7,11,0,18,38.9,61.1,0.0,0.6111,,E140_D6_5i_19NOV17_10x_3.tif,000130_330.tif
E116,L,0,5,16,21,0.0,23.8,76.2,1.7619,1.3496,E116_D6_1i_LY_10x_1.jpg,00000351_7.jpg
E116,L,5,11,7,23,21.7,47.8,30.4,1.0870,,E116_D6_1i_LY_10x_21.jpg,00000365_8.jpg
E116,L,2,12,6,20,10.0,60.0,30.0,1.2000,,E116_D6_1i_LY_10x_3.jpg,00000169_9.jpg
E133,L,5,7,9,21,23.8,33.3,42.9,1.1905,0.9091,E133_D3P37_D6_1i_LY_10x_1.tif,0000172_85.tif
E133,L,9,6,4,19,47.4,31.6,21.1,0.7368,,E133_D3P37_D6_1i_LY_10x_2.tif,0000194_86.tif
E133,L,7,4,4,15,46.7,26.7,26.7,0.8000,,E133_D3P37_D6_1i_LY_10x_3.tif,0000413_87.tif
E136,L,5,14,5,24,20.8,58.3,20.8,1.0000,1.0779,E136_D6_1i_LY_10x_1.tif,000056_172.tif
E136,L,4,16,8,28,14.3,57.1,28.6,1.1429,,E136_D6_1i_LY_10x_2.tif,000053_173.tif
E136,L,4,12,6,22,18.2,54.5,27.3,1.0909,,E136_D6_1i_LY_10x_3.tif,000066_174.tif
E140,L,0,0,18,18,0.0,0.0,100.0,2.0000,1.9474,E140_D6_1i_LY_19NOV17_10x_1.tif,000062_250.tif
E140,L,0,1,15,16,0.0,6.3,93.8,1.9375,,E140_D6_1i_LY_19NOV17_10x_2.tif,000209_251.tif
E140,L,0,2,19,21,0.0,9.5,90.5,1.9048,,E140_D6_1i_LY_19NOV17_10x_3.tif,000296_252.tif
E142,L,1,4,13,18,5.6,22.2,72.2,1.6667,1.4245,E142_D6_1i_LY_30JAN18_10x_1.tif,000007_352.tif
E142,L,0,12,13,25,0.0,48.0,52.0,1.5200,,E142_D6_1i_LY_30JAN18_10x_2.tif,000412_353.tif
E142,L,3,15,5,23,13.0,65.2,21.7,1.0870,,E142_D6_1i_LY_30JAN18_10x_3.tif,000403_354.tif
E116,L+P,6,4,6,16,37.5,25.0,37.5,1.0000,0.9464,E116_D6_2i_LY+PF_10x_1.jpg,0000098_22.jpg
E116,L+P,7,8,2,17,41.2,47.1,11.8,0.7059,,E116_D6_2i_LY+PF_10x_2.jpg,0000246_23.jpg
E116,L+P,2,9,4,15,13.3,60.0,26.7,1.1333,,E116_D6_2i_LY+PF_10x_3.jpg,0000036_24.jpg
E133,L+P,7,3,0,10,70.0,30.0,0.0,0.3000,0.8037,E133_D3P37_D6_2i_L+P_10x_1.tif,000387_100.tif
E133,L+P,0,2,1,3,0.0,66.7,33.3,1.3333,,E133_D3P37_D6_2i_L+P_10x_2.tif,000019_101.tif
E133,L+P,3,5,1,9,33.3,55.6,11.1,0.7778,,E133_D3P37_D6_2i_L+P_10x_3.tif,000018_102.tif
E136,L+P,9,7,0,16,56.3,43.8,0.0,0.4375,0.7903,E136_D6_2i_L+P_10x_1.tif,000367_184.tif
E136,L+P,2,12,1,15,13.3,80.0,6.7,0.9333,,E136_D6_2i_L+P_10x_2.tif,000215_185.tif
E136,L+P,2,8,2,12,16.7,66.7,16.7,1.0000,,E136_D6_2i_L+P_10x_3.tif,000271_186.tif
E140,L+P,2,13,3,18,11.1,72.2,16.7,1.0556,1.2349,E140_D6_2i_L+P_19NOV17_10x_1.tif,000289_265.tif
E140,L+P,2,9,8,19,10.5,47.4,42.1,1.3158,,E140_D6_2i_L+P_19NOV17_10x_2.tif,000300_266.tif
E140,L+P,1,12,8,21,4.8,57.1,38.1,1.3333,,E140_D6_2i_L+P_19NOV17_10x_3.tif,000290_267.tif
E142,L+P,6,9,3,18,33.3,50.0,16.7,0.8333,1.2919,E142_D6_2i_L+P_30JAN18_10x_1.tif,000361_367.tif
E142,L+P,0,4,13,17,0.0,23.5,76.5,1.7647,,E142_D6_2i_L+P_30JAN18_10x_2.tif,000077_368.tif
E142,L+P,0,13,5,18,0.0,72.2,27.8,1.2778,,E142_D6_2i_L+P_30JAN18_10x_3.tif,000344_369.tif
E116,L+P+S,20,10,0,30,66.7,33.3,0.0,0.3333,0.1542,E116_D6_3i_LY+PF+SU_10x_1.jpg,0000371_58.jpg
E116,L+P+S,18,2,0,20,90.0,10.0,0.0,0.1000,,E116_D6_3i_LY+PF+SU_10x_2.jpg,0000019_59.jpg
E116,L+P+S,33,1,0,34,97.1,2.9,0.0,0.0294,,E116_D6_3i_LY+PF+SU_10x_3.jpg,0000284_60.jpg
E133,L+P+S,2,2,0,4,50.0,50.0,0.0,0.5000,0.7190,E133_D3P37_D6_3i_L+P+S_10x_1.tif,000246_124.tif
E133,L+P+S,3,2,2,7,42.9,28.6,28.6,0.8571,,E133_D3P37_D6_3i_L+P+S_10x_2.tif,000342_125.tif
E133,L+P+S,2,8,0,10,20.0,80.0,0.0,0.8000,,E133_D3P37_D6_3i_L+P+S_10x_3.tif,000394_126.tif
E136,L+P+S,9,11,5,25,36.0,44.0,20.0,0.8400,0.7251,E136_D6_3i_L+P+S_10x_1.tif,000410_208.tif
E136,L+P+S,8,16,1,25,32.0,64.0,4.0,0.7200,,E136_D6_3i_L+P+S_10x_2.tif,000287_209.tif
E136,L+P+S,10,16,0,26,38.5,61.5,0.0,0.6154,,E136_D6_3i_L+P+S_10x_3.tif,000405_210.tif
E140,L+P+S,5,21,0,26,19.2,80.8,0.0,0.8077,0.6302,E140_D6_3i_L+P+S_19NOV17_10x_1.tif,000294_295.tif
E140,L+P+S,14,14,1,29,48.3,48.3,3.4,0.5517,,E140_D6_3i_L+P+S_19NOV17_10x_2.tif,000153_296.tif
E140,L+P+S,15,17,0,32,46.9,53.1,0.0,0.5313,,E140_D6_3i_L+P+S_19NOV17_10x_3.tif,000028_297.tif
E142,L+P+S,9,15,0,24,37.5,62.5,0.0,0.6250,0.5031,E142_D6_3i_L+P+S_30JAN18_10x_1.tif,000101_394.tif
E142,L+P+S,15,12,0,27,55.6,44.4,0.0,0.4444,,E142_D6_3i_L+P+S_30JAN18_10x_2.tif,000373_395.tif
E142,L+P+S,14,11,0,25,56.0,44.0,0.0,0.4400,,E142_D6_3i_L+P+S_30JAN18_10x_3.tif,000271_396.tif
E140,L+R,4,29,0,33,12.1,87.9,0.0,0.8788,0.9263,E140_D6_2i_L+R_19NOV17_10x_1.tif,000079_268.tif
E140,L+R,0,29,1,30,0.0,96.7,3.3,1.0333,,E140_D6_2i_L+R_19NOV17_10x_2.tif,000137_269.tif
E140,L+R,4,26,0,30,13.3,86.7,0.0,0.8667,,E140_D6_2i_L+R_19NOV17_10x_3.tif,000215_270.tif
E140,L+R+P,6,27,1,34,17.6,79.4,2.9,0.8529,0.7128,E140_D6_3i_L+R+P_19NOV17_10x_1.tif,000095_298.tif
E140,L+R+P,9,30,0,39,23.1,76.9,0.0,0.7692,,E140_D6_3i_L+R+P_19NOV17_10x_2.tif,000069_299.tif
E140,L+R+P,15,16,0,31,48.4,51.6,0.0,0.5161,,E140_D6_3i_L+R+P_19NOV17_10x_3.tif,000316_300.tif
E140,L+R+S,12,21,0,33,36.4,63.6,0.0,0.6364,0.5334,E140_D6_3i_L+R+S_19NOV17_10x_1.tif,000342_301.tif
E140,L+R+S,17,9,0,26,65.4,34.6,0.0,0.3462,,E140_D6_3i_L+R+S_19NOV17_10x_2.tif,000322_302.tif
E140,L+R+S,13,21,0,34,38.2,61.8,0.0,0.6176,,E140_D6_3i_L+R+S_19NOV17_10x_3.tif,000402_303.tif
E116,L+S,13,6,1,20,65.0,30.0,5.0,0.4000,0.3429,E116_D6_2i_LY+SU_10x_1.jpg,0000089_25.jpg
E116,L+S,12,9,0,21,57.1,42.9,0.0,0.4286,,E116_D6_2i_LY+SU_10x_2.jpg,0000090_26.jpg
E116,L+S,16,4,0,20,80.0,20.0,0.0,0.2000,,E116_D6_2i_LY+SU_10x_3.jpg,0000184_27.jpg
E136,L+S,21,8,0,29,72.4,27.6,0.0,0.2759,0.2991,E136_D6_2i_L+S_10x_1.tif,000258_187.tif
E136,L+S,25,11,0,36,69.4,30.6,0.0,0.3056,,E136_D6_2i_L+S_10x_2.tif,000421_188.tif
E136,L+S,26,12,0,38,68.4,31.6,0.0,0.3158,,E136_D6_2i_L+S_10x_3.tif,000420_189.tif
E140,L+S,15,16,0,31,48.4,51.6,0.0,0.5161,0.5173,E140_D6_2i_L+S_19NOV17_10x_1.tif,000292_271.tif
E140,L+S,13,15,0,28,46.4,53.6,0.0,0.5357,,E140_D6_2i_L+S_19NOV17_10x_2.tif,000357_272.tif
E140,L+S,15,15,0,30,50.0,50.0,0.0,0.5000,,E140_D6_2i_L+S_19NOV17_10x_3.tif,000330_273.tif
E142,L+S,15,8,0,23,65.2,34.8,0.0,0.3478,0.5893,E142_D6_2i_L+S_30JAN18_10x_1.tif,000310_370.tif
E142,L+S,8,16,1,25,32.0,64.0,4.0,0.7200,,E142_D6_2i_L+S_30JAN18_10x_2.tif,000077_371.tif
E142,L+S,6,14,0,20,30.0,70.0,0.0,0.7000,,E142_D6_2i_L+S_30JAN18_10x_3.tif,000056_372.tif
E116,L+U,4,3,4,11,36.4,27.3,36.4,1.0000,0.7722,E116_D6_2i_LY+UO_10x_1.jpg,0000050_28.jpg
E116,L+U,6,5,1,12,50.0,41.7,8.3,0.5833,,E116_D6_2i_LY+UO_10x_2.jpg,0000164_29.jpg
E116,L+U,7,5,3,15,46.7,33.3,20.0,0.7333,,E116_D6_2i_LY+UO_10x_3.jpg,0000405_30.jpg
E133,L+U,11,3,2,16,68.8,18.8,12.5,0.4375,0.3885,E133_D3P37_D6_2i_L+U_10x_1.tif,000218_103.tif
E133,L+U,10,6,0,16,62.5,37.5,0.0,0.3750,,E133_D3P37_D6_2i_L+U_10x_2.tif,000369_104.tif
E133,L+U,11,6,0,17,64.7,35.3,0.0,0.3529,,E133_D3P37_D6_2i_L+U_10x_3.tif,000116_105.tif
E136,L+U,5,15,3,23,21.7,65.2,13.0,0.9130,0.8804,E136_D6_2i_L+U_10x_1.tif,000092_190.tif
E136,L+U,8,12,4,24,33.3,50.0,16.7,0.8333,,E136_D6_2i_L+U_10x_2.tif,000229_191.tif
E136,L+U,5,11,3,19,26.3,57.9,15.8,0.8947,,E136_D6_2i_L+U_10x_3.tif,000022_192.tif
E140,L+U,4,15,7,26,15.4,57.7,26.9,1.1154,1.1391,E140_D6_2i_L+U_19NOV17_10x_1.tif,000396_274.tif
E140,L+U,4,10,8,22,18.2,45.5,36.4,1.1818,,E140_D6_2i_L+U_19NOV17_10x_2.tif,000304_275.tif
