ExpCode,Condition,n colonies [ES phenotye],n colonies [partial differentiation phenotye],n colonies [full differentiation phenotye],Total number of colonies, % [ES phenotye],% [partial differentiation phenotye],% [full differentiation phenotye],Morphology Value [((C + D*2 + E*3)/F)-1],Averaged values,Corresponding Images,Randomization code
E136,U,21,8,2,31,67.7,25.8,6.5,0.3871,,E136_D6_1i_UO_10x_2.tif,000247_182.tif
E136,U,8,16,2,26,30.8,61.5,7.7,0.7692,,E136_D6_1i_UO_10x_3.tif,000152_183.tif
E140,U,1,9,9,19,5.3,47.4,47.4,1.4211,1.2525,E140_D6_1i_UO_19NOV17_10x_1.tif,000112_262.tif
E140,U,2,15,5,22,9.1,68.2,22.7,1.1364,,E140_D6_1i_UO_19NOV17_10x_2.tif,000164_263.tif
E140,U,3,10,7,20,15.0,50.0,35.0,1.2000,,E140_D6_1i_UO_19NOV17_10x_3.tif,000131_264.tif
E142,U,11,15,1,27,40.7,55.6,3.7,0.6296,0.6539,E142_D6_1i_UO_30JAN18_10x_1.tif,000414_364.tif
E142,U,11,8,4,23,47.8,34.8,17.4,0.6957,,E142_D6_1i_UO_30JAN18_10x_2.tif,000116_365.tif
E142,U,11,8,3,22,50.0,36.4,13.6,0.6364,,E142_D6_1i_UO_30JAN18_10x_3.tif,000027_366.tif
E116,U+P,2,20,0,22,9.1,90.9,0.0,0.9091,0.7259,E116_D6_2i_UO+PF_10x_1.jpg,0000176_40.jpg
E116,U+P,8,6,0,14,57.1,42.9,0.0,0.4286,,E116_D6_2i_UO+PF_10x_2.jpg,0000046_41.jpg
E116,U+P,5,19,1,25,20.0,76.0,4.0,0.8400,,E116_D6_2i_UO+PF_10x_3.jpg,0000151_42.jpg
E133,U+P,9,6,0,15,60.0,40.0,0.0,0.4000,0.5135,E133_D3P37_D6_2i_U+P_10x_1.tif,000051_115.tif
E133,U+P,10,9,0,19,52.6,47.4,0.0,0.4737,,E133_D3P37_D6_2i_U+P_10x_2.tif,000388_116.tif
E133,U+P,7,10,1,18,38.9,55.6,5.6,0.6667,,E133_D3P37_D6_2i_U+P_10x_3.tif,000053_117.tif
E140,U+P,6,18,0,24,25.0,75.0,0.0,0.7500,0.8000,E140_D6_2i_U+P_19NOV17_10x_1.tif,000083_286.tif
E140,U+P,5,12,3,20,25.0,60.0,15.0,0.9000,,E140_D6_2i_U+P_19NOV17_10x_2.tif,000431_287.tif
E140,U+P,10,15,3,28,35.7,53.6,10.7,0.7500,,E140_D6_2i_U+P_19NOV17_10x_3.tif,000214_288.tif
E142,U+P,12,11,4,27,44.4,40.7,14.8,0.7037,0.6418,E142_D6_2i_U+P_30JAN18_10x_1.tif,000046_385.tif
E142,U+P,11,11,3,25,44.0,44.0,12.0,0.6800,,E142_D6_2i_U+P_30JAN18_10x_2.tif,000282_386.tif
E142,U+P,13,9,2,24,54.2,37.5,8.3,0.5417,,E142_D6_2i_U+P_30JAN18_10x_3.tif,000226_387.tif
E116,U+P+S,15,11,0,26,57.7,42.3,0.0,0.4231,0.3101,E116_D6_3i_UO+PF+SU_10x_1.jpg,0000253_70.jpg
E116,U+P+S,19,4,0,23,82.6,17.4,0.0,0.1739,,E116_D6_3i_UO+PF+SU_10x_2.jpg,0000205_71.jpg
E116,U+P+S,16,8,0,24,66.7,33.3,0.0,0.3333,,E116_D6_3i_UO+PF+SU_10x_3.jpg,0000120_72.jpg
E133,U+P+S,20,2,0,22,90.9,9.1,0.0,0.0909,0.1744,E133_D3P37_D6_3i_U+P+S_10x_1.tif,000299_136.tif
E133,U+P+S,33,2,0,35,94.3,5.7,0.0,0.0571,,E133_D3P37_D6_3i_U+P+S_10x_2.tif,000054_137.tif
E133,U+P+S,15,9,0,24,62.5,37.5,0.0,0.3750,,E133_D3P37_D6_3i_U+P+S_10x_3.tif,000009_138.tif
E140,U+P+S,12,11,0,23,52.2,47.8,0.0,0.4783,0.5545,E140_D6_3i_U+P+S_19NOV17_10x_1.tif,000271_313.tif
E140,U+P+S,6,20,1,27,22.2,74.1,3.7,0.8148,,E140_D6_3i_U+P+S_19NOV17_10x_2.tif,000122_314.tif
E140,U+P+S,17,10,0,27,63.0,37.0,0.0,0.3704,,E140_D6_3i_U+P+S_19NOV17_10x_3.tif,000383_315.tif
